date,last_available_confirmed,last_available_deaths,new_confirmed,new_deaths,mean_confirmed,mean_deaths,pct_change_confirmed,pct_change_deaths
2021-03-24,168536,3347,800,25,956.4285714285714,22.857142857142858,0.6321306679668455,1.191780821917808
2021-03-25,169458,3368,922,21,972.4285714285714,22.571428571428573,0.7643856920684293,1.0
2021-03-26,170413,3389,955,21,983.5714285714286,22.142857142857142,0.9648972602739727,0.8235294117647058
2021-03-27,171261,3411,848,22,953.0,22.0,0.6366535819430814,0.673913043478261
2021-03-28,171701,3432,440,21,826.4285714285714,22.285714285714285,0.6935011709601875,0.5599999999999998
2021-03-29,172886,3456,1185,24,895.5714285714286,22.571428571428573,0.6726254002134471,0.4495412844036699
2021-03-30,173693,3478,807,22,851.0,22.285714285714285,0.5345182895414735,0.30000000000000004
2021-03-31,174600,3501,907,23,866.2857142857143,22.0,0.27582579423522,0.18461538461538463
2021-04-01,175582,3525,982,24,874.8571428571429,22.428571428571427,0.15307851628695168,0.1376811594202898
2021-04-02,176357,3550,775,25,849.1428571428571,23.0,-0.008176205573168671,0.10273972602739723
2021-04-03,177261,3572,904,22,857.1428571428571,23.0,-0.05347846663511602,0.05921052631578938
2021-04-04,178301,3592,1040,20,942.8571428571429,22.857142857142858,-0.07251264755480602,0.045751633986928164
2021-04-05,179278,3617,977,25,913.1428571428571,23.0,-0.05443786982248522,0.02547770700636942
2021-04-06,179790,3642,512,25,871.0,23.428571428571427,-0.17194078500611165,0.03144654088050314
2021-04-07,180483,3668,693,26,840.4285714285714,23.857142857142858,-0.12128454070201644,0.043749999999999956
2021-04-08,181312,3693,829,25,818.5714285714286,24.0,-0.15821947994711327,0.06329113924050622
2021-04-09,182014,3719,702,26,808.1428571428571,24.142857142857142,-0.17835875090777054,0.0903225806451613
2021-04-10,183112,3744,1098,25,835.8571428571429,24.571428571428573,-0.12292010193374303,0.11688311688311703
2021-04-11,184113,3770,1001,26,830.2857142857143,25.428571428571427,0.004667242869490051,0.14102564102564097
2021-04-12,184959,3796,846,26,811.5714285714286,25.571428571428573,-0.09379486361461153,0.13291139240506333
2021-04-13,186018,3822,1059,26,889.7142857142857,25.714285714285715,0.04549269766661057,0.15384615384615397
2021-04-14,186983,3849,965,27,928.5714285714286,25.857142857142858,0.07189973614775713,0.17532467532467533
2021-04-15,187656,3876,673,27,906.2857142857143,26.142857142857142,0.03592423252775956,0.16560509554140124
2021-04-16,188659,3903,1003,27,949.2857142857143,26.285714285714285,0.11793405114401079,0.1428571428571428
2021-04-17,189573,3929,914,26,923.0,26.428571428571427,0.07683333333333331,0.1490683229813663
2021-04-18,190234,3955,661,26,874.4285714285714,26.428571428571427,-0.07257575757575763,0.15625
2021-04-19,191537,3982,1303,27,939.7142857142857,26.571428571428573,0.029098873591989927,0.15527950310559002
2021-04-20,192542,4009,1005,27,932.0,26.714285714285715,0.07003444316877161,0.14024390243902451
2021-04-21,193271,4034,729,25,898.2857142857143,26.428571428571427,0.0688424273329935,0.10778443113772451
2021-04-22,194312,4061,1041,27,950.8571428571429,26.428571428571427,0.16160558464223396,0.10119047619047605
2021-04-23,195191,4088,879,27,933.1428571428571,26.428571428571427,0.15467562312179606,0.09467455621301779
2021-04-24,195993,4115,802,27,917.1428571428571,26.571428571428573,0.09724833361818486,0.08139534883720922
2021-04-25,196699,4137,706,22,923.5714285714286,26.0,0.11235375086028898,0.022471910112359605
2021-04-26,197562,4165,863,28,860.7142857142857,26.142857142857142,0.06055271959162112,0.022346368715083775
